"ITTER107","Territorio","TIPO_DATO_PIL_SEC2010","Tipo aggregato","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD2","Provincia Autonoma Trento","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",20209.7,,
"ITD2","Provincia Autonoma Trento","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",20606.5,,
"ITD2","Provincia Autonoma Trento","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",20057.2,,
"ITD2","Provincia Autonoma Trento","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",20341.5,,
"ITD2","Provincia Autonoma Trento","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",18061,,
"ITD2","Provincia Autonoma Trento","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",18420.8,,
"ITD2","Provincia Autonoma Trento","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",17981,,
"ITD2","Provincia Autonoma Trento","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",18204,,
"ITD2","Provincia Autonoma Trento","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",2148.7,,
"ITD2","Provincia Autonoma Trento","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",2185.7,,
"ITD2","Provincia Autonoma Trento","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",2076.2,,
"ITD2","Provincia Autonoma Trento","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",2137.5,,
"ITD3","Veneto","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",159984.6,,
"ITD3","Veneto","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",163171.3,,
"ITD3","Veneto","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",159230,,
"ITD3","Veneto","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",161761.4,,
"ITD3","Veneto","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",143220.7,,
